#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-3618394.3829874136,300.61993897890045,0
20000,-3619640.5906277206,300.41978037844115,58.5
30000,-3615975.1684068795,301.00878106891247,58.3
40000,-3621863.072919173,301.73218763285587,58.2
50000,-3618133.8714307677,300.26892424864633,58.1
60000,-3624797.436927283,301.9148456594483,56.7
70000,-3627400.0208587293,300.2847884993771,56
80000,-3629320.1970760506,301.83069765707455,55.5
90000,-3630576.439308431,302.00158628982405,55.1
100000,-3628845.9895672053,300.282280329809,54.8
