#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
102500,410.0000000005015,-3627043.9795853887,-3089492.182224269,300.37316601424493,0,--
105000,420.0000000005492,-3628933.582823526,-3089926.6352871023,301.1862747552595,50.8,4:31:32
107500,430.00000000059697,-3631429.3720783535,-3092261.4551756554,301.27622120956664,50.8,4:31:10
110000,440.0000000006447,-3628501.0201096963,-3090516.0845433995,300.6151949585245,50.7,4:31:26
112500,450.00000000069247,-3630714.1741136536,-3092265.6394326147,300.8742448483028,50.7,4:31:21
115000,460.0000000007402,-3626250.8815190196,-3086949.7020887164,301.3506856379701,50.6,4:31:37
117500,470.00000000078796,-3628587.1733951345,-3090470.6639846293,300.6887157845054,50.6,4:31:16
120000,480.0000000008357,-3627675.513627013,-3088637.80177482,301.2034652380618,50.5,4:31:14
122500,490.00000000088346,-3625276.5889438484,-3089560.586842372,299.34736043234574,50.5,4:30:56
125000,500.0000000009312,-3626299.520331962,-3087571.0779564995,301.0306516555695,50.6,4:30:27
127500,510.00000000097896,-3627133.2969850674,-3089727.8962405883,300.2913625202376,50.6,4:30:10
130000,520.0000000010267,-3629283.416780306,-3091305.9821010353,300.6110036132532,50.6,4:29:59
132500,530.0000000010745,-3627743.885628948,-3087671.302722089,301.781730433402,50.6,4:29:40
135000,540.0000000011222,-3631112.4097220637,-3092585.070022064,300.91827951279333,50.5,4:29:37
137500,550.00000000117,-3632111.448068034,-3092718.262953813,301.4020965693543,50.5,4:29:33
140000,560.0000000012177,-3627115.229535347,-3089205.6098724157,300.5731099418689,50.5,4:29:17
142500,570.0000000012654,-3628793.5568771083,-3088171.027924462,302.08902925692183,50.5,4:29:05
145000,580.0000000013132,-3627767.7298411094,-3088420.0535439374,301.37666715487654,50.5,4:28:50
147500,590.000000001361,-3629873.0015903953,-3090229.6651564445,301.5418761110819,50.4,4:28:39
150000,600.0000000014087,-3625045.03455911,-3087200.4708529916,300.53675797762696,50.4,4:28:21
152500,610.0000000014564,-3627983.9527124353,-3088792.139588228,301.2895739390072,50.4,4:28:07
155000,620.0000000015042,-3623961.6886517424,-3084136.907334622,301.6432638736797,50.4,4:27:58
157500,630.0000000015519,-3630120.3171498887,-3089688.5174352713,301.9824535829878,50.4,4:27:44
160000,640.0000000015997,-3631280.4057301246,-3091073.1372685246,301.85699002083624,50.4,4:27:29
162500,650.0000000016474,-3626290.7249813825,-3087211.276449022,301.2267868580849,50.4,4:27:10
165000,660.0000000016952,-3626748.8099190723,-3087695.174982599,301.2123627382867,50.4,4:26:55
167500,670.0000000017429,-3627521.126360651,-3089481.992573972,300.64547983735577,50.4,4:26:34
170000,680.0000000017907,-3625689.7732038703,-3086425.5543797156,301.3300327923446,50.4,4:26:18
172500,690.0000000018384,-3629554.196029756,-3090481.763314687,301.22286656005514,50.4,4:26:02
175000,700.0000000018862,-3630096.2857791446,-3090044.1530836457,301.77030326533713,50.4,4:25:46
177500,710.0000000019339,-3627779.5808320977,-3087521.7305594785,301.88525412262703,50.4,4:25:34
180000,720.0000000019817,-3627816.4812579565,-3089682.3264953564,300.6985756534523,50.4,4:25:14
182500,730.0000000020294,-3626894.0248329956,-3089001.179250339,300.5637369221454,50.4,4:24:56
185000,740.0000000020772,-3625845.0580442604,-3087472.1317218207,300.8319964135264,50.4,4:24:39
187500,750.0000000021249,-3630188.172024237,-3090844.5961624077,301.37437591382417,50.4,4:24:19
190000,760.0000000021727,-3625463.8995051663,-3086070.9625613056,301.4019578967332,50.4,4:24:02
192500,770.0000000022204,-3630182.023850836,-3093463.164063443,299.90773719912295,50.4,4:23:48
195000,780.0000000022682,-3624713.374371117,-3086117.1657308415,300.95676209574077,50.4,4:23:30
197500,790.0000000023159,-3627699.937582463,-3090013.387705327,300.4484630182972,50.4,4:23:17
200000,800.0000000023637,-3628347.1773600243,-3087256.731270345,302.3504919709763,50.4,4:23:02
202500,810.0000000024114,-3629779.6520366017,-3092261.8847287158,300.35415070282824,50.4,4:22:45
205000,820.0000000024592,-3626814.06452018,-3087748.163431083,301.2192168184265,50.4,4:22:29
207500,830.0000000025069,-3628160.931538267,-3088354.749675843,301.63287087132943,50.4,4:22:15
210000,840.0000000025547,-3629935.9078528415,-3090969.813030736,301.16344707762846,50.4,4:21:58
212500,850.0000000026024,-3630090.4606461395,-3089510.5677257795,302.0652050969675,50.3,4:21:42
215000,860.0000000026502,-3627861.826316705,-3088237.556726193,301.5312219412739,50.3,4:21:27
217500,870.0000000026979,-3629983.6170738097,-3090689.9726775438,301.3464752120336,50.3,4:21:08
220000,880.0000000027457,-3629353.792229401,-3090415.737467086,301.14777885444374,50.3,4:20:52
222500,890.0000000027934,-3629612.5232419036,-3090918.4408396548,301.0114519914831,50.3,4:20:37
225000,900.0000000028411,-3628950.487191178,-3088359.205610975,302.0715688517356,50.3,4:20:20
227500,910.0000000028889,-3631206.5210655276,-3092470.880298933,301.03467397220027,50.3,4:20:01
230000,920.0000000029366,-3627250.759714717,-3090164.3595103174,300.11311141466183,50.3,4:19:45
232500,930.0000000029844,-3628298.541800441,-3090612.6089919284,300.44811821272344,50.3,4:19:27
235000,940.0000000030321,-3626676.716824161,-3087191.321684663,301.453621682593,50.3,4:19:10
237500,950.0000000030799,-3625512.9709356856,-3086789.7905108132,301.02771138308594,50.3,4:18:53
240000,960.0000000031276,-3631573.516683096,-3093960.845658716,300.40718099670863,50.3,4:18:34
242500,970.0000000031754,-3628526.990847217,-3090553.915027553,300.60856796990356,50.4,4:18:15
245000,980.0000000032231,-3628960.6201103143,-3090495.927459184,300.8832735980094,50.4,4:17:57
247500,990.0000000032709,-3624876.4633463826,-3085089.7523666653,301.62199093248,50.4,4:17:39
250000,1000.0000000033186,-3629193.4040141683,-3090082.910904209,301.244133945578,50.4,4:17:20
252500,1010.0000000033664,-3628828.7914797086,-3091081.5203907713,300.482392813942,50.4,4:17:04
255000,1020.0000000034141,-3629659.3670248687,-3090802.804579633,301.10224258164715,50.4,4:16:46
257500,1030.0000000032912,-3629904.723176297,-3091289.131412899,300.9675929962942,50.4,4:16:30
260000,1040.0000000030548,-3624910.668522386,-3086493.972514621,300.8564540360684,50.4,4:16:13
262500,1050.0000000028183,-3630289.664937943,-3091528.819910409,301.04875760784745,50.4,4:15:56
265000,1060.0000000025818,-3628548.574063001,-3090079.698998435,300.88561064677646,50.4,4:15:39
267500,1070.0000000023454,-3627849.322341958,-3089806.2686895365,300.647670179736,50.4,4:15:23
270000,1080.000000002109,-3630662.4037702996,-3092151.508201778,300.9090908618416,50.4,4:15:05
272500,1090.0000000018724,-3628879.2938188277,-3090049.0540371244,301.08753400505594,50.4,4:14:47
275000,1100.000000001636,-3630886.916489808,-3091232.1886797203,301.548241383661,50.4,4:14:29
277500,1110.0000000013995,-3625072.4458274525,-3086666.8451904566,300.8502541653539,50.4,4:14:12
280000,1120.000000001163,-3629403.830505168,-3091520.584546134,300.55837284494544,50.4,4:13:53
282500,1130.0000000009265,-3630683.0119745973,-3092686.118148568,300.62187699429006,50.4,4:13:36
285000,1140.00000000069,-3630888.7575009502,-3091727.4174150457,301.2725462162129,50.4,4:13:19
287500,1150.0000000004536,-3628678.697099615,-3089563.3241808955,301.24686068486903,50.4,4:13:01
290000,1160.0000000002171,-3629148.9093989003,-3091674.015539671,300.33019387936673,50.4,4:12:44
292500,1169.9999999999807,-3631278.8888357766,-3092253.476534585,301.196592495578,50.4,4:12:29
295000,1179.9999999997442,-3626118.065156445,-3088255.481892312,300.5468269453385,50.4,4:12:12
297500,1189.9999999995077,-3628998.2002507336,-3091887.388765828,300.1267519487423,50.4,4:11:55
300000,1199.9999999992713,-3626565.1118966993,-3086536.838926335,301.7569709293391,50.4,4:11:37
302500,1209.9999999990348,-3628614.578741707,-3089677.8580445396,301.147033405588,50.4,4:11:20
305000,1219.9999999987983,-3627784.9004016165,-3090125.076574817,300.4335290372484,50.4,4:11:03
307500,1229.9999999985619,-3630369.081365969,-3093450.6597110066,300.01924836934285,50.4,4:10:45
310000,1239.9999999983254,-3628433.7257261984,-3091003.3360070083,300.305325858257,50.4,4:10:27
312500,1249.999999998089,-3628021.051620979,-3089859.4616650864,300.71390588936595,50.4,4:10:09
315000,1259.9999999978525,-3629968.557380626,-3092951.7938433597,300.0741998413395,50.4,4:09:50
317500,1269.999999997616,-3630306.8112036083,-3092628.246692353,300.44400095595626,50.4,4:09:33
320000,1279.9999999973795,-3628404.8153201155,-3086661.0188556453,302.71557106020254,50.4,4:09:15
322500,1289.999999997143,-3629957.0817423593,-3090487.1902446947,301.4449585583975,50.4,4:08:57
325000,1299.9999999969066,-3631175.3207284156,-3092129.624819761,301.20792656872544,50.4,4:08:40
327500,1309.99999999667,-3628446.033928074,-3088553.3070684234,301.68123048048193,50.4,4:08:24
330000,1319.9999999964336,-3629908.584458038,-3088974.1301736822,302.2633268779244,50.4,4:08:07
332500,1329.9999999961972,-3625843.733070871,-3085809.5135684563,301.7602937322157,50.4,4:07:51
335000,1339.9999999959607,-3629293.790877113,-3090276.9827680113,301.19178464555944,50.4,4:07:34
337500,1349.9999999957242,-3632182.6601903588,-3092510.295577204,301.5580964755826,50.4,4:07:18
340000,1359.9999999954878,-3631259.733216282,-3094030.301251959,300.1930346942038,50.4,4:07:00
