ZINC_ID,Average_Similarity,HBA,HBD,LogP,MolWeight,Organ_toxicity_Cardiotoxicity_cardio,Organ_toxicity_Cardiotoxicity_cardio_Prob,Organ_toxicity_Nephrotoxicity_nephro,Organ_toxicity_Nephrotoxicity_nephro_Prob,Organ_toxicity_Neurotoxicity_neuro,Organ_toxicity_Neurotoxicity_neuro_Prob,Organ_toxicity_Respiratory_toxicity_respi,Organ_toxicity_Respiratory_toxicity_respi_Prob,Predicted_LD50,Predicted_Toxicity_Class,Prediction_Accuracy,Rotatable_Bonds,TPSA,Toxicity_end_points_BBB-barrier_bbb,Toxicity_end_points_BBB-barrier_bbb_Prob,Toxicity_end_points_Carcinogenicity_carcino,Toxicity_end_points_Carcinogenicity_carcino_Prob,Toxicity_end_points_Clinical_toxicity_clinical,Toxicity_end_points_Clinical_toxicity_clinical_Prob,Toxicity_end_points_Cytotoxicity_cyto,Toxicity_end_points_Cytotoxicity_cyto_Prob,Toxicity_end_points_Ecotoxicity_eco,Toxicity_end_points_Ecotoxicity_eco_Prob,Toxicity_end_points_Immunotoxicity_immuno,Toxicity_end_points_Immunotoxicity_immuno_Prob,Toxicity_end_points_Mutagenicity_mutagen,Toxicity_end_points_Mutagenicity_mutagen_Prob,Toxicity_end_points_Nutritional_toxicity_nutri,Toxicity_end_points_Nutritional_toxicity_nutri_Prob,aromatase,aromatase_Prob
ZINC000170871960_1,45.4,,,,379.27,0,0.75,0,0.59,1,0.73,1,0.86,920,4,54.26,5,,1,0.84,1,0.6,0,0.53,0,0.71,1,0.56,0,0.91,1,0.54,0,0.56,0,0.86
ZINC000173283029_1,40.74,,,,375.24,0,0.71,0,0.6,1,0.72,1,0.82,850,4,54.26,5,,1,0.85,1,0.56,0,0.6,0,0.72,1,0.59,0,0.98,0,0.51,0,0.56,0,0.83
ZINC000236669732_1,37.06,,,,374.26,0,0.84,0,0.79,1,0.83,1,0.87,240,3,23,5,,1,0.87,0,0.52,0,0.66,0,0.66,1,0.59,0,0.96,0,0.52,0,0.57,0,0.81
ZINC000284841137_1,44.74,,,,386.27,0,0.77,0,0.73,1,0.83,1,0.8,9,1,54.26,6,,1,0.87,1,0.53,0,0.58,0,0.75,1,0.54,0,0.99,0,0.5,0,0.55,0,0.79
ZINC000451465529_1,39.79,,,,353.23,0,0.7,0,0.6,1,0.67,1,0.78,850,4,23,4,,1,0.86,1,0.58,0,0.62,0,0.71,1,0.58,0,0.91,0,0.5,0,0.54,0,0.85
ZINC000477439824_1,39.68,,,,361.21,0,0.71,0,0.63,1,0.74,1,0.82,1000,4,23,5,,1,0.87,1,0.56,0,0.62,0,0.69,1,0.59,0,0.99,1,0.51,0,0.55,0,0.82
ZINC000519619338_1,48.86,,,,405.34,0,0.82,0,0.65,1,0.74,1,0.81,500,4,54.26,5,,1,0.76,1,0.53,0,0.61,0,0.65,1,0.61,0,0.96,1,0.56,0,0.59,0,0.74
ZINC000520206376_1,43.02,,,,391.31,0,0.84,0,0.69,1,0.83,1,0.86,2000,4,54.26,5,,1,0.78,1,0.52,0,0.6,0,0.62,1,0.52,0,0.99,1,0.62,0,0.62,0,0.81
ZINC000533369446_1,46.3,,,,385.28,0,0.85,0,0.68,1,0.75,1,0.81,500,4,54.26,5,,1,0.81,1,0.52,0,0.54,0,0.68,1,0.64,0,0.99,1,0.51,0,0.62,0,0.77
ZINC000580863573_1,54.26,,,,429.33,0,0.74,0,0.65,1,0.86,1,0.81,500,4,67.38,7,,1,0.86,1,0.55,0,0.5,0,0.67,1,0.58,0,0.92,1,0.55,0,0.69,0,0.87
ZINC000640949294_1,41.88,,,,373.27,0,0.89,0,0.78,1,0.87,1,0.8,900,4,54.26,3,,1,0.79,0,0.52,0,0.61,0,0.69,1,0.6,1,0.99,1,0.6,0,0.66,0,0.77
ZINC000823826077_1,55.3,,,,384.27,0,0.82,0,0.72,1,0.79,1,0.75,1500,4,67.38,6,,1,0.79,0,0.55,0,0.68,0,0.59,1,0.54,0,0.75,1,0.61,0,0.57,0,0.81
ZINC000823827184_1,55.05,,,,384.27,0,0.82,0,0.72,1,0.79,1,0.75,1500,4,67.38,6,,1,0.79,0,0.55,0,0.68,0,0.59,1,0.54,0,0.63,1,0.61,0,0.57,0,0.81
ZINC000896953839_1,56.11,,,,360.23,0,0.64,0,0.59,1,0.68,1,0.68,920,4,67.38,5,,1,0.84,1,0.5,0,0.59,0,0.75,0,0.51,0,0.99,0,0.52,1,0.54,0,0.8
ZINC000932374482_1,41.87,,,,386.27,0,0.76,0,0.73,1,0.84,1,0.8,159,3,54.26,6,,1,0.84,1,0.52,0,0.58,0,0.75,1,0.55,0,0.88,0,0.53,0,0.57,0,0.78
ZINC001217741407_1,44.28,,,,407.33,0,0.78,0,0.65,1,0.75,1,0.8,600,4,54.26,4,,1,0.91,1,0.55,0,0.6,0,0.69,1,0.59,0,0.67,0,0.56,0,0.58,0,0.85
ZINC001248718246_1,47.52,,,,350.23,0,0.81,0,0.66,1,0.7,1,0.81,722,4,54.26,2,,1,0.82,1,0.54,0,0.52,0,0.72,1,0.55,0,0.96,0,0.55,0,0.51,0,0.87
ZINC001257366747_1,41.26,,,,415.31,0,0.88,0,0.72,1,0.81,1,0.81,449,4,54.26,4,,1,0.9,1,0.5,0,0.58,0,0.68,1,0.7,0,0.77,0,0.54,0,0.59,0,0.8
ZINC001257372419_1,38.56,,,,415.31,0,0.87,0,0.69,1,0.88,1,0.79,105,3,23,4,,1,0.89,1,0.5,0,0.59,0,0.64,1,0.64,0,0.92,0,0.5,0,0.64,0,0.8
ZINC001257379751_1,41.35,,,,429.33,0,0.86,0,0.72,1,0.85,1,0.83,182,3,54.26,5,,1,0.89,1,0.53,0,0.57,0,0.67,1,0.63,0,0.93,1,0.53,0,0.61,0,0.78
ZINC001588320882_1,52.88,,,,398.3,0,0.83,0,0.69,1,0.72,1,0.77,1500,4,67.38,6,,1,0.82,0,0.51,0,0.67,0,0.67,1,0.62,0,0.65,1,0.53,0,0.59,0,0.8
ZINC001588321543_1,62.5,,,,362.27,0,0.83,0,0.7,1,0.75,1,0.85,496,4,68.07,4,,1,0.81,0,0.52,0,0.66,0,0.61,1,0.63,1,0.81,1,0.54,0,0.54,0,0.78
ZINC001588322160_1,51.65,,,,398.3,0,0.84,0,0.71,1,0.71,1,0.76,270,3,67.38,6,,1,0.83,0,0.52,0,0.67,0,0.65,1,0.6,0,0.58,1,0.54,0,0.58,0,0.82
ZINC001602681992_1,50.54,,,,384.27,0,0.83,0,0.7,1,0.72,1,0.83,1500,4,67.38,5,,1,0.8,0,0.52,0,0.65,0,0.66,1,0.6,0,0.8,1,0.54,0,0.57,0,0.81
ZINC001609018178_1,52.6,,,,384.27,0,0.84,0,0.74,1,0.79,1,0.78,1500,4,67.38,5,,1,0.76,0,0.54,0,0.65,0,0.62,1,0.56,1,0.54,1,0.57,0,0.58,0,0.79
ZINC001609018251_1,48.45,,,,384.27,0,0.82,0,0.68,1,0.73,1,0.84,1500,4,54.26,5,,1,0.79,0,0.51,0,0.65,0,0.65,1,0.62,0,0.64,1,0.52,0,0.58,0,0.8
ZINC000046007741_1,53.99,,,,342.43,0,0.71,1,0.58,1,0.6,1,0.64,2500,5,67.38,8,,1,0.79,0,0.61,1,0.52,0,0.59,0,0.6,0,0.99,0,0.7,0,0.57,0,0.87
ZINC000057024870_1,69.41,,,,379.88,0,0.78,0,0.6,1,0.75,1,0.8,300,3,68.07,9,,1,0.71,0,0.66,1,0.62,0,0.8,1,0.51,0,0.95,0,0.75,0,0.54,0,0.97
ZINC000063779174_1,54.93,,,,340.42,0,0.91,0,0.76,1,0.91,1,0.86,200,3,67.38,4,,1,0.93,0,0.61,1,0.77,0,0.69,0,0.51,1,0.98,0,0.57,0,0.57,0,0.9
ZINC000072418973_1,66.34,,,,364.87,0,0.78,0,0.64,1,0.72,1,0.82,1000,4,68.07,4,,1,0.81,0,0.64,1,0.71,0,0.69,0,0.5,0,0.85,0,0.74,0,0.61,0,0.93
ZINC000097728464_1,70.46,,,,357.45,0,0.8,0,0.65,1,0.74,1,0.74,1500,4,69.26,8,,1,0.89,0,0.54,1,0.7,0,0.68,0,0.55,0,0.88,0,0.8,0,0.52,0,0.97
ZINC000104021936_1,63.13,,,,332.39,0,0.76,0,0.55,1,0.72,1,0.76,1250,4,68.07,7,,1,0.84,0,0.58,1,0.61,0,0.57,0,0.58,0,0.94,0,0.72,0,0.61,0,0.92
ZINC000110621325_1,61.03,,,,302.37,0,0.7,0,0.66,1,0.58,1,0.85,1000,4,68.07,8,,1,0.81,0,0.63,0,0.5,0,0.7,1,0.55,0,0.93,0,0.64,0,0.64,0,0.92
ZINC000121655081_1,51.72,,,,300.35,0,0.82,0,0.59,1,0.66,1,0.7,200,3,67.38,6,,1,0.79,0,0.56,1,0.56,0,0.66,0,0.51,0,0.97,0,0.56,0,0.6,0,0.91
ZINC000130611174_1,68.01,,,,343.42,0,0.82,0,0.63,1,0.73,1,0.74,1000,4,68.07,6,,1,0.9,0,0.6,1,0.67,0,0.67,0,0.52,0,0.96,0,0.82,0,0.58,0,0.97
ZINC000131644072_1,78.6,,,,334.39,0,0.74,0,0.62,1,0.71,1,0.8,193,3,69.26,8,,1,0.85,0,0.6,1,0.65,0,0.77,0,0.51,0,0.93,0,0.76,0,0.52,0,0.96
ZINC000165500068_1,67.39,,,,325.41,0,0.79,0,0.76,1,0.74,1,0.81,200,3,68.07,8,,1,0.83,0,0.68,1,0.65,0,0.71,1,0.5,0,0.9,0,0.76,0,0.66,0,0.84
ZINC000177977648_1,62.51,,,,300.35,0,0.82,0,0.65,1,0.71,1,0.87,350,4,68.07,4,,1,0.89,0,0.53,1,0.7,0,0.55,0,0.52,0,0.97,0,0.66,0,0.58,0,0.93
ZINC000185819743_1,67.95,,,,314.38,0,0.82,0,0.7,1,0.74,1,0.85,1000,4,68.07,7,,1,0.89,0,0.63,1,0.66,0,0.65,0,0.58,0,0.94,0,0.7,0,0.56,0,0.94
ZINC000189775572_1,55.95,,,,365.85,0,0.87,0,0.53,1,0.85,1,0.77,500,4,67.38,6,,1,0.72,0,0.62,1,0.69,0,0.71,1,0.55,0,0.99,0,0.66,0,0.64,0,0.94
ZINC000264720070_1,84.04,,,,359.46,0,0.78,0,0.68,1,0.69,1,0.76,300,3,70.97,10,,1,0.85,0,0.66,1,0.61,0,0.82,0,0.53,0,0.96,0,0.79,0,0.6,0,0.96
ZINC000277843696_1,56.1,,,,313.39,0,0.73,0,0.69,1,0.71,1,0.86,920,4,67.38,8,,1,0.82,1,0.58,1,0.61,0,0.75,1,0.52,0,0.98,1,0.5,0,0.58,0,0.92
