ZINC_ID,Predicted_LD50_mgkg,Predicted_Toxicity_Class,Average_Similarity_pct,Prediction_Accuracy_pct,MolWeight,LogP,TPSA,HBA,HBD,Rotatable_Bonds,risk_score,risk_band,ld50_class,ld50_band,auto_exclude,auto_exclude_reason,hepatotoxicity_prob,hepatotoxicity_active,cardiotoxicity_prob,cardiotoxicity_active,nephrotoxicity_prob,nephrotoxicity_active,neurotoxicity_prob,neurotoxicity_active,immunotoxicity_prob,immunotoxicity_active,mutagenicity_prob,mutagenicity_active,carcinogenicity_prob,carcinogenicity_active,clinical_toxicity_prob,clinical_toxicity_active,bbb_barrier_prob,bbb_barrier_active,respiratory_toxicity_prob,respiratory_toxicity_active,pxr_prob,pxr_active,sr_mmp_prob,sr_mmp_active
ZINC000170871960_1,920,4,45.4,54.26,379.27,,,3,1,5,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.52,0,,0
ZINC000173283029_1,850,4,40.74,54.26,375.24,,,2,1,5,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.53,0,,0
ZINC000236669732_1,240,3,37.06,23,374.26,,,2,1,5,3,YELLOW (proceed with caution; monitoring/backup),3,high,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.59,0,,0
ZINC000284841137_1,9,1,44.74,54.26,386.27,,,3,1,6,10,RED (do not advance without strong justification),1,auto_exclude,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.65,0,,0
ZINC000451465529_1,850,4,39.79,23,353.23,,,2,1,4,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.52,0,,0
ZINC000477439824_1,1000,4,39.68,23,361.21,,,2,1,5,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.5,1,,0
ZINC000519619338_1,500,4,48.86,54.26,405.34,,,3,1,5,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.61,0,,0
ZINC000520206376_1,2000,4,43.02,54.26,391.31,,,3,1,5,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.73,0,,0
ZINC000533369446_1,500,4,46.3,54.26,385.28,,,3,1,5,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.56,0,,0
ZINC000580863573_1,500,4,54.26,67.38,429.33,,,4,1,7,1,GREEN (advance),4,moderate,FALSE,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.69,0,,0
