receptor,ligand,seed,mode_rank,score_kcal_per_mol,pose_path
receptor_crystal,ZINC000329563636,1,1,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,2,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,3,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,4,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,5,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,6,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,7,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,8,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,1,9,-6.3,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed1.pdbqt
receptor_crystal,ZINC000329563636,2,1,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed2.pdbqt
receptor_crystal,ZINC000329563636,2,2,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed2.pdbqt
receptor_crystal,ZINC000329563636,2,3,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000329563636__seed2.pdbqt
