#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-3619736.1400488485,301.0584036965002,0
20000,-3619594.1870823316,301.15998482112735,58.2
30000,-3619082.031250337,300.73603322881075,57.9
40000,-3619123.649215106,300.04707765046527,57.7
50000,-3619855.841563219,301.5359527021247,57.5
60000,-3631960.60278463,301.16105668830386,56.1
70000,-3630606.266157588,300.3589950220317,55.3
80000,-3624958.678673921,300.3056523947203,54.8
90000,-3631984.096472444,300.52969218119426,54.4
100000,-3629086.2622946575,299.8533712798415,54.1
