#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
102500,410.0000000005015,-3629349.6373611335,-3090740.438681295,300.9710121582805,0,--
105000,420.0000000005492,-3629987.862667298,-3090595.544580496,301.40861374609676,51.4,4:28:16
107500,430.00000000059697,-3628127.878014721,-3088864.168651317,301.33674810074876,51.8,4:25:53
110000,440.0000000006447,-3631759.404921146,-3092082.2133888733,301.56779901331913,51.8,4:25:36
112500,450.00000000069247,-3627566.56547877,-3086870.8603237737,302.1369372246225,51.8,4:25:34
115000,460.0000000007402,-3626975.4537308533,-3090486.011543441,299.78650721737296,51.8,4:25:19
117500,470.00000000078796,-3629962.596578423,-3091222.9252135297,301.04391937222374,51.8,4:25:01
120000,480.0000000008357,-3627905.4015065655,-3089328.4069015984,300.95301674893113,51.7,4:25:10
122500,490.00000000088346,-3626513.721515622,-3087962.7260444984,300.938488616758,51.7,4:24:50
125000,500.0000000009312,-3630212.5388932414,-3091024.7995903403,301.2942965680617,51.7,4:24:38
127500,510.00000000097896,-3629089.345145194,-3089621.222620933,301.45097272979774,51.7,4:24:16
130000,520.0000000010267,-3624618.8546698596,-3086762.78636689,300.5501682284535,51.7,4:23:54
132500,530.0000000010745,-3626929.362241041,-3087440.3574886024,301.4626415712621,51.7,4:23:33
135000,540.0000000011222,-3630105.4658291265,-3091058.655275193,301.2155465795304,51.7,4:23:21
137500,550.00000000117,-3628377.3485305402,-3089030.127007529,301.3834141050913,51.7,4:23:03
140000,560.0000000012177,-3628481.279781144,-3089879.441008277,300.966899494301,51.7,4:22:47
142500,570.0000000012654,-3628843.1539583784,-3088021.267480521,302.20744645571244,51.7,4:22:48
145000,580.0000000013132,-3630271.178278284,-3091147.902802038,301.25827463749766,51.6,4:22:45
147500,590.000000001361,-3627601.67762552,-3091498.13378605,299.5708699489137,51.6,4:22:29
150000,600.0000000014087,-3627784.7290125377,-3089881.2604746325,300.5766551446076,51.6,4:22:15
152500,610.0000000014564,-3626851.6927930843,-3087806.8766160007,301.2144321358472,51.6,4:21:58
155000,620.0000000015042,-3626127.9648052417,-3088476.692157887,300.4357298640384,51.6,4:21:42
157500,630.0000000015519,-3627811.303011263,-3089676.2310587764,300.7060734951977,51.6,4:21:27
160000,640.0000000015997,-3630159.5800549313,-3092378.4568246747,300.5082894516969,51.6,4:21:06
162500,650.0000000016474,-3627907.733121909,-3089624.8858812274,300.7886492814432,51.6,4:20:50
165000,660.0000000016952,-3629356.707296025,-3088779.9497544225,302.070470139239,51.6,4:20:38
167500,670.0000000017429,-3627803.883670414,-3088807.775357113,301.18721452593843,51.6,4:20:17
170000,680.0000000017907,-3624510.754612807,-3085396.748927506,301.25309474385676,51.6,4:20:00
172500,690.0000000018384,-3627092.852931896,-3086458.320219489,302.10275449620394,51.6,4:19:40
175000,700.0000000018862,-3627864.2390618958,-3088681.6962032653,301.29139283174294,51.6,4:19:22
177500,710.0000000019339,-3628074.741270466,-3089138.8349987194,301.15357405075724,51.6,4:19:04
180000,720.0000000019817,-3626426.299827654,-3087628.817297381,301.0762238427027,51.6,4:18:46
182500,730.0000000020294,-3627610.617086688,-3088251.8642312116,301.38985773214415,51.7,4:18:26
185000,740.0000000020772,-3623627.2131758034,-3084938.793793073,301.01528012695223,51.7,4:18:08
187500,750.0000000021249,-3628617.241264386,-3090267.843504323,300.82583724114943,51.7,4:17:50
190000,760.0000000021727,-3628833.297120249,-3090127.8014746155,301.0248222219299,51.7,4:17:34
192500,770.0000000022204,-3629174.517266782,-3088897.362864054,301.9030540234842,51.7,4:17:19
195000,780.0000000022682,-3624733.1371159945,-3086456.9438727736,300.78493107470723,51.7,4:17:01
197500,790.0000000023159,-3624266.18923313,-3086030.906556288,300.7620705394597,51.7,4:16:46
200000,800.0000000023637,-3628646.5860683415,-3090581.51656028,300.6669566241828,51.7,4:16:29
202500,810.0000000024114,-3629185.277044514,-3090024.148816184,301.2794264877364,51.7,4:16:12
205000,820.0000000024592,-3628048.0175886974,-3087605.165832909,301.99564453286405,51.7,4:15:54
207500,830.0000000025069,-3630011.3650678657,-3091199.1323369555,301.0844661505322,51.7,4:15:38
210000,840.0000000025547,-3629576.3167290855,-3091966.76506225,300.4124164750988,51.6,4:15:24
212500,850.0000000026024,-3625556.3648241833,-3086086.757041072,301.4518026819423,51.6,4:15:08
215000,860.0000000026502,-3624181.158233434,-3084230.917038612,301.72037723424137,51.6,4:14:53
217500,870.0000000026979,-3633066.535932418,-3094674.0917437426,300.8498912811119,51.6,4:14:50
220000,880.0000000027457,-3625893.247033667,-3087390.4832815686,300.91153707317363,51.5,4:15:03
