Tier,ZINC ID,Ligand ID,chunk,MW (Da),LogP,TPSA,BBB Penetration,QED,LD50 (mg/kg),ProTox Risk Band,SMILES
1A,ZINC000543478179_1,lig_00001125,28,363.433,2.5492,61.88,0.963208663,0.844909716,10000,GREEN (advance),CCN1CCN(C(=O)N[C@H](C)c2ccc(OCC3CC3)c(F)c2)CC1=O
1A,ZINC000795594282_1,lig_00003218,82,391.261,3.4017,63.6,0.794611621,0.735309365,5470,GREEN (advance),C[C@@](O)(CC(=O)OCC(=O)Cc1cccc(Br)c1)c1ccccc1
1A,ZINC000329563636_1,lig_00001277,28,357.454,2.6967,61.88,0.983406341,0.885176484,5000,GREEN (advance),CCN1CCN(C(=O)N[C@H]2CC3(CCCC3)Oc3ccccc32)CC1=O
1A,ZINC001185146364_1,lig_00045671,28,367.873,3.2362,64.63,0.766444087,0.783795976,5000,GREEN (advance),CCOC(=O)C(C)(C)NC(=O)CC1(c2cccc(Cl)c2)CCOCC1
1A,ZINC000815499514_1,lig_00002157,82,360.784,3.4853,63.6,0.987731469,0.816371814,5000,GREEN (advance),C[C@@](O)(C(=O)OCC(=O)C1CCC(F)(F)CC1)c1ccc(Cl)cc1
1A,ZINC001228612316_1,lig_00098123,120,268.316,2.7106,65.21,0.954687214,0.906304794,4000,GREEN (advance),NC(=O)c1cccc(O[C@@H](c2cccnc2)C2CC2)c1
1A,ZINC000986844564_1,lig_00039943,109,343.427,2.59722,67.48,0.758082092,0.927738867,3780,GREEN (advance),Cc1cocc1C(=O)N[C@@H](C)C1CCN(C(=O)c2ccn(C)c2)CC1
1A,ZINC001008808068_1,lig_00033575,109,354.275,2.36232,62.55,0.94538002,0.848025923,3780,GREEN (advance),Cc1cocc1C(=O)N1C[C@@H](C(F)(F)F)[C@H](NC(=O)C(C)(F)F)C1
1A,ZINC001192508341_1,lig_00021163,55,326.343,2.8136,68.29,0.995334554,0.864037423,3500,GREEN (advance),COC(=O)c1ncccc1C(=O)NCC1(C)CCC(F)(F)CC1
1A,ZINC000331864530_1,lig_00002457,28,385.508,2.5759,69.72,0.764364219,0.846923926,3300,GREEN (advance),CCN1CCN(C(=O)c2ccc(CNC(=O)C3CCCC3)cc2)C(C)(C)C1=O
1A,ZINC001436004151_1,lig_00000264,28,408.296,2.3442,69.72,0.960896575,0.835061236,3000,GREEN (advance),CCN1CCN(C(=O)C[C@H]2C(=O)Nc3c(Br)cccc32)C(C)(C)C1=O
1A,ZINC001271344958_1,lig_00016714,28,398.29,2.1941,69.72,0.758831739,0.845662269,3000,GREEN (advance),CCNC(=O)CN1CC[C@]2(CCN(C(=O)c3cccc(Cl)c3Cl)C2)C1=O
