#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-3620217.706092097,301.48568971284476,0
20000,-3619644.503592411,301.29880273497326,58.5
30000,-3614666.5797787905,300.3931630300436,58.4
40000,-3618246.2267038263,300.8374243811685,58.2
50000,-3621451.825485343,301.0945336717742,58.1
60000,-3632798.925420562,301.56745949363864,56.6
70000,-3626368.8247428723,300.64002145847456,56
80000,-3628415.5701663326,299.3812036106232,55.5
90000,-3628742.9738381803,300.2550411979785,55.2
100000,-3628158.354779888,300.00896467141246,54.9
