#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
102500,410.0000000005015,-3627478.088269895,-3087491.6672119196,301.7518099491505,0,--
105000,420.0000000005492,-3625345.0150166806,-3089137.829525874,299.6399213383536,52,4:25:18
107500,430.00000000059697,-3627162.4808834773,-3088367.904829122,301.085790632745,52.3,4:23:15
110000,440.0000000006447,-3627026.574867483,-3086371.371377738,302.12553473440215,52.4,4:22:56
112500,450.00000000069247,-3630987.411347626,-3091993.246165275,301.19732377185784,52.4,4:22:34
115000,460.0000000007402,-3628541.8997705933,-3090121.516938232,300.87668633381446,52.4,4:22:08
117500,470.00000000078796,-3626961.4988568164,-3086711.459133892,301.8991236707233,52.4,4:21:48
120000,480.0000000008357,-3629831.201553909,-3088800.053072434,302.3356179462609,52.4,4:21:40
122500,490.00000000088346,-3627930.6896340325,-3089312.085579494,300.98745506841556,52.3,4:21:35
125000,500.0000000009312,-3629740.4915073495,-3092523.440014627,300.20424829547807,52.3,4:21:35
127500,510.00000000097896,-3628540.9492285866,-3090792.2426297683,300.50134445248665,52.3,4:21:18
130000,520.0000000010267,-3631788.114911033,-3092457.778241151,301.3851810046696,52.3,4:21:04
132500,530.0000000010745,-3626364.23663524,-3088281.7520457013,300.68786416648913,52.3,4:20:47
135000,540.0000000011222,-3625992.3552854676,-3088378.6071822974,300.42592779617513,52.3,4:20:29
137500,550.00000000117,-3627680.043994574,-3087940.9758625235,301.61358574538644,52.3,4:20:08
140000,560.0000000012177,-3630136.119572103,-3092008.9442319716,300.71283797018776,52.3,4:19:55
142500,570.0000000012654,-3626064.5411202367,-3087962.292794071,300.69890841328134,52.3,4:19:39
145000,580.0000000013132,-3633914.464474378,-3094961.528586293,301.1742842773772,52.3,4:19:28
147500,590.000000001361,-3629782.80734089,-3092094.0802558498,300.4678270784629,52.3,4:19:12
150000,600.0000000014087,-3627973.51619084,-3087970.4259816096,301.76112489924066,52.3,4:18:54
152500,610.0000000014564,-3629461.8868010696,-3091210.2586036194,300.78238393187286,52.3,4:18:35
155000,620.0000000015042,-3629895.0486597884,-3091669.9887577863,300.7675372043885,52.3,4:18:19
157500,630.0000000015519,-3629354.2218951285,-3089625.2979896273,301.607917012614,52.3,4:18:08
160000,640.0000000015997,-3625958.686190907,-3087621.587514422,300.8301460065107,52.3,4:17:52
162500,650.0000000016474,-3629989.10322736,-3090037.98204059,301.73208389750965,52.3,4:17:33
165000,660.0000000016952,-3627099.395820653,-3087683.7331627724,301.4328623357369,52.3,4:17:16
167500,670.0000000017429,-3631616.6219353154,-3093441.892595781,300.7394117965482,52.3,4:16:59
170000,680.0000000017907,-3627577.942077471,-3087110.696837081,302.02050108961777,52.3,4:16:42
172500,690.0000000018384,-3630951.110742422,-3091163.497713043,301.64071329908325,52.3,4:16:25
175000,700.0000000018862,-3628619.9317311123,-3089065.3026866484,301.5105186564113,52.3,4:16:10
177500,710.0000000019339,-3630699.2795251478,-3093169.1374613643,300.3792075959558,52.3,4:15:53
180000,720.0000000019817,-3623875.2748208325,-3086176.8172016675,300.4732646342408,52.3,4:15:35
182500,730.0000000020294,-3627544.2664609402,-3088970.9399416465,300.9621533614144,52.3,4:15:18
185000,740.0000000020772,-3630222.824725209,-3091158.391209392,301.23659067928105,52.3,4:15:02
187500,750.0000000021249,-3632583.4686554614,-3094618.8506291104,300.62199871619777,52.3,4:14:46
190000,760.0000000021727,-3626968.7648702487,-3089629.4335898934,300.2725799160514,52.3,4:14:32
192500,770.0000000022204,-3630174.9655197784,-3093363.3947134586,299.9776601327947,52.3,4:14:16
195000,780.0000000022682,-3630476.321015101,-3092825.574685852,300.446602911787,52.3,4:14:00
197500,790.0000000023159,-3630020.4249815624,-3091887.860647771,300.7158494136746,52.3,4:13:46
200000,800.0000000023637,-3629227.9690939263,-3090653.1142230122,300.96300742523846,52.3,4:13:29
202500,810.0000000024114,-3629541.6393859945,-3092245.4626097106,300.2484645879556,52.3,4:13:12
205000,820.0000000024592,-3631981.4382714983,-3094917.1742615243,300.118868556916,52.3,4:12:56
207500,830.0000000025069,-3626602.367371915,-3088519.8001981108,300.6879103157081,52.3,4:12:40
210000,840.0000000025547,-3625767.1692601442,-3085432.978061362,301.9461486683152,52.3,4:12:23
212500,850.0000000026024,-3629411.63599021,-3091135.8452090123,300.79588631470034,52.3,4:12:07
215000,860.0000000026502,-3626063.02596201,-3086111.4716724474,301.7323259212836,52.3,4:11:52
217500,870.0000000026979,-3627709.874133328,-3087556.7474534176,301.8449673345697,52.3,4:11:35
220000,880.0000000027457,-3631851.7426328585,-3090824.267729613,302.3335651004177,52.3,4:11:18
222500,890.0000000027934,-3627674.144997012,-3089838.753021123,300.54978542879115,52.3,4:11:02
225000,900.0000000028411,-3629173.089145338,-3089945.533085905,301.3277457914472,52.3,4:10:46
227500,910.0000000028889,-3627988.895481752,-3090449.561490362,300.3843441710325,52.3,4:10:29
230000,920.0000000029366,-3632781.1864310205,-3093296.927286231,301.4711949923995,52.3,4:10:13
232500,930.0000000029844,-3631507.5560570117,-3092812.6471458105,301.0300952677018,52.3,4:09:55
235000,940.0000000030321,-3628935.954289213,-3089535.1973700887,301.4245328047096,52.3,4:09:40
237500,950.0000000030799,-3627250.4489338994,-3090410.32635378,299.99361525515593,52.2,4:09:25
240000,960.0000000031276,-3628890.4870327916,-3089643.019773939,301.33887244246796,52.2,4:09:10
242500,970.0000000031754,-3624982.114708796,-3086869.993660191,300.7044254258379,52.2,4:08:54
245000,980.0000000032231,-3629086.687766105,-3091715.4545153663,300.2904071741613,52.2,4:08:36
247500,990.0000000032709,-3627748.0013797265,-3089188.8812399763,300.9542146418969,52.2,4:08:22
250000,1000.0000000033186,-3629070.8927661628,-3088275.110839119,302.2040918911018,52.2,4:08:06
252500,1010.0000000033664,-3627295.293372685,-3088673.479043479,300.9892490138809,52.2,4:07:49
255000,1020.0000000034141,-3626330.8480449524,-3085082.3058742937,302.45710051808936,52.2,4:07:33
257500,1030.0000000032912,-3628179.5734669566,-3090974.0112921284,300.19782790723417,52.2,4:07:17
260000,1040.0000000030548,-3628878.2112126127,-3089365.8836368094,301.48688001619,52.2,4:07:00
262500,1050.0000000028183,-3630380.72432553,-3090980.7205668557,301.42411192833197,52.2,4:06:44
265000,1060.0000000025818,-3628577.983783027,-3090602.1966585256,300.6282401612618,52.2,4:06:27
267500,1070.0000000023454,-3629055.465179596,-3092213.8508607293,299.99444885920485,52.2,4:06:11
270000,1080.000000002109,-3628510.2366024386,-3090275.941529924,300.7726979441933,52.2,4:05:56
272500,1090.0000000018724,-3627055.7064379696,-3088918.9472907623,300.71819353288066,52.2,4:05:39
275000,1100.000000001636,-3629494.6909541916,-3090599.2527123718,301.1421538049214,52.2,4:05:23
277500,1110.0000000013995,-3630022.5100684296,-3091318.7455308624,301.0350439130382,52.2,4:05:07
280000,1120.000000001163,-3628471.9064279627,-3088714.261280859,301.6239668359051,52.2,4:04:51
282500,1130.0000000009265,-3626196.317806741,-3087269.837382338,301.15950060182945,52.2,4:04:34
285000,1140.00000000069,-3628495.2474184446,-3089612.928614639,301.13482248322134,52.2,4:04:16
287500,1150.0000000004536,-3627160.350416584,-3087669.012538798,301.47515068537706,52.2,4:04:00
290000,1160.0000000002171,-3629689.9808053207,-3089312.9998757895,301.9700601560808,52.2,4:03:46
292500,1169.9999999999807,-3626792.104119161,-3086680.948513019,301.8215133235407,52.2,4:03:30
