#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-3518969.679580763,301.5394942135582,0
20000,-3516938.854295565,302.48018894565797,60.1
30000,-3518695.1884738337,300.09488356876653,59.6
40000,-3518032.3249767385,301.4176999197574,59.4
50000,-3516584.1247443333,302.7834663921246,58.2
60000,-3528167.7751623727,300.5226126259195,57
70000,-3530307.0833723284,301.40827018964643,56.4
80000,-3521903.776028091,300.328126867785,56
90000,-3528398.995116461,301.8626056556925,55.7
100000,-3528172.7842178177,301.09329413788373,55.4
