#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
112500,450.00000000069247,-3527662.258415723,-3003798.6382729867,301.04140966807523,0,--
125000,500.0000000009312,-3529917.2396495044,-3006789.217760885,300.6186936655622,53.4,1:20:43:19
137500,550.00000000117,-3526219.645990653,-3002107.359557985,301.1843072612266,53.4,1:20:42:18
150000,600.0000000014087,-3529782.104619285,-3007791.359911668,299.9651504291393,53.4,1:20:38:18
162500,650.0000000016474,-3524522.419576494,-2999698.7359193526,301.59311599513154,53.4,1:20:38:17
175000,700.0000000018862,-3529624.462206619,-3006019.1184265236,300.8929895882991,53.5,1:20:34:18
187500,750.0000000021249,-3526444.1331931707,-3001806.0878284196,301.4864378234075,53.5,1:20:32:10
200000,800.0000000023637,-3528541.5806426406,-3005307.0504837697,300.67989928966915,53.5,1:20:32:09
212500,850.0000000026024,-3528154.6507245284,-3003458.972386712,301.5195569612666,53.5,1:20:29:32
225000,900.0000000028411,-3529781.4058024157,-3006379.0473495424,300.77634283769584,53.5,1:20:27:36
237500,950.0000000030799,-3523255.855272481,-2999870.4072776856,300.76662514029886,53.5,1:20:25:41
250000,1000.0000000033186,-3526286.248324195,-3002585.2455259305,300.94796062383165,53.5,1:20:23:29
262500,1050.0000000028183,-3530676.746415686,-3007123.0418217303,300.8633148164846,53.5,1:20:22:08
275000,1100.000000001636,-3525801.4697096236,-3002003.5880114743,301.00363267179785,53.5,1:20:20:05
287500,1150.0000000004536,-3525801.780169541,-3003260.688350032,300.28141073812105,53.5,1:20:18:57
300000,1199.9999999992713,-3524175.9340531994,-3001478.1198816556,300.37147218917255,53.5,1:20:17:14
312500,1249.999999998089,-3527050.502174694,-3002156.541890942,301.6335008852596,53.5,1:20:15:57
325000,1299.9999999969066,-3527907.027073009,-3001811.0440678354,302.3242505395518,53.5,1:20:14:18
337500,1349.9999999957242,-3525194.878057413,-3002493.9607961494,300.3732553985186,53.5,1:20:13:08
350000,1399.999999994542,-3526525.096589327,-3003903.292383152,300.32779260112005,53.5,1:20:11:51
362500,1449.9999999933596,-3528345.720808236,-3006004.2895537736,300.16667458228653,53.5,1:20:10:33
375000,1499.9999999921772,-3528383.685002215,-3004599.818633625,300.99557867758057,53.5,1:20:09:24
387500,1549.9999999909949,-3529248.3186930604,-3006281.7144591166,300.52593403034325,53.5,1:20:07:37
400000,1599.9999999898125,-3528397.5592368394,-3004286.291798399,301.1837216900076,53.5,1:20:06:20
412500,1649.9999999886302,-3526285.0321259797,-3003475.868995616,300.4354595443529,53.5,1:20:05:15
425000,1699.9999999874478,-3526868.343126543,-3001943.536629785,301.65122684882954,53.5,1:20:04:02
