#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-3618215.163905356,302.3693589479804,0
20000,-3618826.558931561,299.83619989865775,59
30000,-3619110.3704023324,301.1581253529348,58.8
40000,-3617867.633160893,301.21348247149035,58.8
50000,-3618416.9613500945,302.00245886237946,58.6
60000,-3626959.377371911,300.5517723573134,57.1
70000,-3626554.077558996,300.9108336234587,56.3
80000,-3627439.9726970065,300.5200667320819,55.8
90000,-3628306.796704149,301.8245472839474,55.4
100000,-3627860.9535402153,301.56557052414416,55.1
